split,train_n,test_n,features_total,top_k,bdi_only,min_exog_lag,event_threshold,event_rate_test,event_count,overall_rmse_model,overall_rmse_pers,imp_rmse_overall,event_rmse_model,event_rmse_pers,imp_rmse_event_only,diracc_return_overall,diracc_return_event_only
1,355,120,23,50,1,14,0.17378107504045887,0.38333333333333336,46,362.7896199360358,362.8088569297429,0.019236993707067995,511.7517868110944,511.78736243466005,0.035575623565648584,0.03333333333333333,0.08695652173913043
2,475,120,23,50,1,14,0.1580517813759305,0.4583333333333333,55,735.3386932223817,735.3999195449144,0.06122632253266147,1033.4432429328842,1033.5136978465084,0.07045491362418943,0.2,0.18181818181818182
3,595,120,23,50,1,14,0.15131550976297445,0.5333333333333333,64,505.7721819159294,505.7721819159294,0.0,666.6639075463738,666.6639075463738,0.0,0.0,0.0
4,715,120,23,50,1,14,0.14802702772556559,0.6166666666666667,74,357.8447521854508,357.8447521854508,0.0,441.3248328704245,441.3248328704245,0.0,0.0,0.0
5,835,120,23,50,1,14,0.14950325131516404,0.35,42,263.95105291196194,263.95105291196194,0.0,423.0769658674637,423.0769658674637,0.0,0.0,0.0
