split,train_n,test_n,features_total,top_k,bdi_only,min_exog_lag,event_threshold,event_rate_test,event_count,overall_rmse_model,overall_rmse_pers,imp_rmse_overall,event_rmse_model,event_rmse_pers,imp_rmse_event_only,diracc_return_overall,diracc_return_event_only
1,355,120,333,50,0,7,0.17378107504045887,0.38333333333333336,46,362.8088569297429,362.8088569297429,0.0,511.78736243466005,511.78736243466005,0.0,0.0,0.0
2,475,120,333,50,0,7,0.1580517813759305,0.4583333333333333,55,735.3418196095382,735.3999195449144,0.05809993537616265,1033.4432429328842,1033.5136978465084,0.07045491362418943,0.19166666666666668,0.18181818181818182
3,595,120,333,50,0,7,0.15131550976297445,0.5333333333333333,64,505.7721819159294,505.7721819159294,0.0,666.6639075463738,666.6639075463738,0.0,0.0,0.0
4,715,120,333,50,0,7,0.14802702772556559,0.6166666666666667,74,357.86521263831537,357.8447521854508,-0.0204604528645973,441.3504001082084,441.3248328704245,-0.025567237783945984,0.0,0.0
5,835,120,333,50,0,7,0.14950325131516404,0.35,42,263.89952712475,263.95105291196194,0.05152578721191503,422.96393238104605,423.0769658674637,0.11303348641763478,0.325,0.5
