run,bdi_only,min_exog_lag,top_k,rows,features_total,splits,mean_imp_rmse_overall,mean_imp_rmse_event_only,mean_diracc_overall,mean_diracc_event_only
h10_bdiOnly0_exogLag14_topK100,0,14,100,1292,209,5,0.02623019848524564,0.043722285757769444,0.11000000000000001,0.1485901485901486
h10_bdiOnly0_exogLag7_topK50,0,7,50,1292,333,5,0.017833053944696076,0.03158423245157564,0.10333333333333335,0.13636363636363638
h10_bdiOnly1_exogLag7_topK50,1,7,50,1292,23,5,0.016092663247945893,0.0212061074379676,0.04666666666666667,0.05375494071146245
h10_bdiOnly1_exogLag7_topK100,1,7,100,1292,23,5,0.016092663247945893,0.0212061074379676,0.04666666666666667,0.05375494071146245
h10_bdiOnly1_exogLag14_topK50,1,14,50,1292,23,5,0.016092663247945893,0.0212061074379676,0.04666666666666667,0.05375494071146245
h10_bdiOnly1_exogLag14_topK100,1,14,100,1292,23,5,0.016092663247945893,0.0212061074379676,0.04666666666666667,0.05375494071146245
h10_bdiOnly0_exogLag14_topK50,0,14,50,1292,209,5,0.006132071714432641,0.0076621720885782455,0.14333333333333337,0.15473733473733473
h10_bdiOnly0_exogLag7_topK100,0,7,100,1292,333,5,-0.0010610157648898166,0.0038527866107187945,0.10166666666666666,0.11384111384111384
