split,train_n,test_n,features_total,top_k,bdi_only,min_exog_lag,event_threshold,event_rate_test,event_count,overall_rmse_model,overall_rmse_pers,imp_rmse_overall,event_rmse_model,event_rmse_pers,imp_rmse_event_only,diracc_return_overall,diracc_return_event_only
1,355,120,209,50,0,14,0.17378107504045887,0.38333333333333336,46,362.8088569297429,362.8088569297429,0.0,511.78736243466005,511.78736243466005,0.0,0.0,0.0
2,475,120,209,50,0,14,0.1580517813759305,0.4583333333333333,55,735.4323841568759,735.3999195449144,-0.032464611961472656,1033.5894340509767,1033.5136978465084,-0.075736204468285,0.30833333333333335,0.23636363636363636
3,595,120,209,50,0,14,0.15131550976297445,0.5333333333333333,64,505.7721819159294,505.7721819159294,0.0,666.6639075463738,666.6639075463738,0.0,0.0,0.0
4,715,120,209,50,0,14,0.14802702772556559,0.6166666666666667,74,357.8757902541048,357.8447521854508,-0.03103806865402703,441.366807523837,441.3248328704245,-0.04197465341252382,0.025,0.013513513513513514
5,835,120,209,50,0,14,0.14950325131516404,0.35,42,263.8568898727743,263.95105291196194,0.09416303918766289,422.92094414914,423.0769658674637,0.15602171832370004,0.38333333333333336,0.5238095238095238
