split,train_n,test_n,features_total,top_k,bdi_only,min_exog_lag,event_threshold,event_rate_test,event_count,overall_rmse_model,overall_rmse_pers,imp_rmse_overall,event_rmse_model,event_rmse_pers,imp_rmse_event_only,diracc_return_overall,diracc_return_event_only
1,355,120,209,100,0,14,0.17378107504045887,0.38333333333333336,46,362.8088569297429,362.8088569297429,0.0,511.78736243466005,511.78736243466005,0.0,0.0,0.0
2,475,120,209,100,0,14,0.1580517813759305,0.4583333333333333,55,735.3418309421362,735.3999195449144,0.058088602778184395,1033.4432429328842,1033.5136978465084,0.07045491362418943,0.19166666666666668,0.18181818181818182
3,595,120,209,100,0,14,0.15131550976297445,0.5333333333333333,64,505.7721819159294,505.7721819159294,0.0,666.6639075463738,666.6639075463738,0.0,0.0,0.0
4,715,120,209,100,0,14,0.14802702772556559,0.6166666666666667,74,357.88055502732567,357.8447521854508,-0.03580284187489724,441.3730725692146,441.3248328704245,-0.04823969879015522,0.025,0.013513513513513514
5,835,120,209,100,0,14,0.14950325131516404,0.35,42,263.842187680439,263.95105291196194,0.10886523152294103,422.88056965350887,423.0769658674637,0.196396213954813,0.3333333333333333,0.5476190476190477
